"Grade","Section","Subject","Course Name","Link"
"Grade 9","CREATIVITY","Christian Living and Values Education","GRADE 9 - CREATIVITY|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=163"
"Grade 9","CREATIVITY","Computer","GRADE 9 - CREATIVITY|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=164"
"Grade 9","CREATIVITY","English","GRADE 9 - CREATIVITY|English","https://sbcjhs2.aralinks.net/course/view.php?id=361"
"Grade 9","CREATIVITY","Filipino","GRADE 9 - CREATIVITY|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=166"
"Grade 9","CREATIVITY","MAPEH","GRADE 9 - CREATIVITY|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=167"
"Grade 9","CREATIVITY","Mathematics","GRADE 9 - CREATIVITY|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=168"
"Grade 9","CREATIVITY","Phil-IRI","GRADE 9 - CREATIVITY|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=165"
"Grade 9","CREATIVITY","Science","GRADE 9 - CREATIVITY|Science","https://sbcjhs2.aralinks.net/course/view.php?id=169"
"Grade 9","CREATIVITY","Social Studies","GRADE 9 - CREATIVITY|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=170"
"Grade 9","CREATIVITY","TLE","GRADE 9 - CREATIVITY|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=171"
"Grade 9","HONESTY","Christian Living and Values Education","GRADE 9 - HONESTY|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=172"
"Grade 9","HONESTY","Computer","GRADE 9 - HONESTY|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=173"
"Grade 9","HONESTY","English","GRADE 9 - HONESTY|English","https://sbcjhs2.aralinks.net/course/view.php?id=362"
"Grade 9","HONESTY","Filipino","GRADE 9 - HONESTY|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=175"
"Grade 9","HONESTY","MAPEH","GRADE 9 - HONESTY|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=176"
"Grade 9","HONESTY","Mathematics","GRADE 9 - HONESTY|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=177"
"Grade 9","HONESTY","Phil-IRI","GRADE 9 - HONESTY|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=174"
"Grade 9","HONESTY","Science","GRADE 9 - HONESTY|Science","https://sbcjhs2.aralinks.net/course/view.php?id=178"
"Grade 9","HONESTY","Social Studies","GRADE 9 - HONESTY|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=179"
"Grade 9","HONESTY","TLE","GRADE 9 - HONESTY|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=180"
"Grade 9","INDUSTRY","Christian Living and Values Education","GRADE 9 - INDUSTRY|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=181"
"Grade 9","INDUSTRY","Computer","GRADE 9 - INDUSTRY|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=182"
"Grade 9","INDUSTRY","English","GRADE 9 - INDUSTRY|English","https://sbcjhs2.aralinks.net/course/view.php?id=363"
"Grade 9","INDUSTRY","Filipino","GRADE 9 - INDUSTRY|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=184"
"Grade 9","INDUSTRY","MAPEH","GRADE 9 - INDUSTRY|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=185"
"Grade 9","INDUSTRY","Mathematics","GRADE 9 - INDUSTRY|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=186"
"Grade 9","INDUSTRY","Phil-IRI","GRADE 9 - INDUSTRY|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=183"
"Grade 9","INDUSTRY","Science","GRADE 9 - INDUSTRY|Science","https://sbcjhs2.aralinks.net/course/view.php?id=187"
"Grade 9","INDUSTRY","Social Studies","GRADE 9 - INDUSTRY|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=188"
"Grade 9","INDUSTRY","TLE","GRADE 9 - INDUSTRY|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=189"
"Grade 9","INTEGRITY","Christian Living and Values Education","GRADE 9 - INTEGRITY|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=190"
